Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x00000000060ee370      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x00000000060ee838      2      1 ------ \Device\NamedPipe\lsass
0x00000000060eec80      1      1 ------ \Device\NamedPipe\lsarpc
0x00000000060eee90      1      1 ------ \Device\Afd\Endpoint
0x00000000060f33d8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x00000000060f7358      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\UPDATE.EXE-02F294FB.pf
0x00000000060f7550      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\UNREGMP2.EXE-07CACB61.pf
0x00000000060f7748      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\TPVCGATEWAY.EXE-120287EA.pf
0x00000000060f7940      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\TPAUTOCONNSVC.EXE-19F171C6.pf
0x00000000060f7b38      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\TINTSETP.EXE-39BF0732.pf
0x00000000060f7d30      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\SVCHOST.EXE-3530F672.pf
0x00000000060f7f28      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\STOREPWD.EXE-1CA25FA1.pf
0x00000000060f8608      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\dfrgntfs.exe
0x00000000060fa228      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x00000000060faf90      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\dfrgntfs.exe
0x00000000060fbe58      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32
0x00000000060fc5b8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\IE8-WINDOWSXP-X86-KOR.EXE-2824BA08.pf
0x00000000060fc7b0      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\IE4UINIT.EXE-169A5A39.pf
0x00000000060fc9a8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\GRPCONV.EXE-111CD845.pf
0x00000000060fcba0      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\FSQUIRT.EXE-3954ECEA.pf
0x00000000060fcd98      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\FOXHHELP.EXE-20F60555.pf
0x00000000060fcf90      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\FINDKEY.EXE-31036C2D.pf
0x00000000060ff028      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\RUNDLL32.EXE-1E478A55.pf
0x00000000060ff1a0      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\RUNDLL32.EXE-451BE02E.pf
0x00000000060ff398      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\RUNDLL32.EXE-4499C56E.pf
0x00000000060ff590      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\RUNDLL32.EXE-3F78FFDD.pf
0x00000000060ff788      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\RUNDLL32.EXE-2DBD78D2.pf
0x00000000060ff980      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\RUNDLL32.EXE-2AF77CC9.pf
0x00000000060ffb78      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\RUNDLL32.EXE-2893C434.pf
0x00000000060fff90      1      0 R----- \Device\HarddiskVolume1\WINDOWS\system32\drivers\ksecdd.sys
0x00000000061001e0      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\RUNDLL32.EXE-1831A4F3.pf
0x00000000061003d8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\RUNDLL32.EXE-169CA248.pf
0x00000000061005d0      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\RUNDLL32.EXE-12E3F43D.pf
0x00000000061007c8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\RUNDLL32.EXE-1218E1AC.pf
0x00000000061009c0      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\REPBROWS.EXE-110FD282.pf
0x0000000006100bb8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\REGSVR32.EXE-25EEFE2F.pf
0x0000000006101130      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\perfc009.dat
0x00000000061012c8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\system32\drivers\pci.sys
0x0000000006101868      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000006101ab8      1      0 R--rw- \Device\HarddiskVolume1\Program Files\Windows NT\Pinball\SOUND7.WAV
0x0000000006101f90      1      0 R--rw- \Device\HarddiskVolume1\Program Files\Windows NT\Pinball\SOUND3.WAV
0x00000000061021a8      1      0 R--rw- \Device\HarddiskVolume1\Program Files\Windows NT\Pinball\SOUND27.WAV
0x00000000061022c8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\system32\ntoskrnl.exe
0x00000000061025a8      1      0 R----- \Device\HarddiskVolume1\WINDOWS\system32\drivers\pciidex.sys
0x00000000061026c0      1      0 R--rw- \Device\HarddiskVolume1\Program Files\Windows NT\Pinball\SOUND49D.WAV
0x0000000006102d08      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\AELOGGER.EXE-2F330E9E.pf
0x0000000006102f90      1      0 R--rw- \Device\HarddiskVolume1\Program Files\Windows NT\Pinball\SOUND45.WAV
